Scheme Name,Eligibility Criteria,Benefits,Application Process,Income Level,Age,Education,Gender
Sukanya Samriddhi Yojana,"The account must be opened before age 10 by parents/guardians. The beneficiary must be an Indian citizen, and only one account per girl is allowed, with a maximum of two accounts for different girls.","Sukanya Samriddhi Yojana offers tax exemptions, 8.2% interest, and financial security for a girl's education and marriage. Accounts can be opened for girls under 10 at banks or post offices.",Offline Application,150000,Below 10,School,Girl
National Fellowship for OBC Students,Must be an OBC member and enrolled in a full-time M.Phil. or Ph.D. program at a university.,"The scheme is open to OBC candidates pursuing full-time M.Phil. or Ph.D. degrees in Humanities, Social Sciences, Engineering, Technology, or Sciences.",Online Application,600000,22-30,Ph.D.,Both
National overseas Scholarship,A scholarship requires at least 60% marks in the qualifying exam: a Master's for Ph.D. courses and a Bachelor's for Master's courses.,"The National Overseas Scholarship covers tuition fees, provides a monthly living allowance, covers visa and travel expenses, offers funds for supplies, and reimburses medical insurance.",Online Application,800000,upto 35,All,Both
Sarva Shiksha Abhiyan,Students aged 6 to 14 years are eligible to apply for the Sarva Shiksha Abhiyan Scheme.,"Elementary education is free and compulsory, ensuring quality learning, timely textbooks and uniforms, computer education, and equal access for disadvantaged groups.",Online Application,No income limit,6-14yrs,School,Both
Inclusive Education for the Disabled at Secondary School,The child must be in classes IX-XII at a government/aided school and have a disability as defined by relevant disability acts.,"Inclusive education promotes social inclusion, respect, life skills, better academic performance, empathy, and a positive learning environment.",Online Application,No income limit,6-18yrs,School,Both
National Scheme for Incentive to the Girl Child for Secondary Education,"The applicant must be a girl from an SC/ST background, have passed class 8, be enrolled in class 9 at a government or aided school, and be unmarried at the time of applying.","Under the National Scheme of Incentive to Girls for Secondary Education, eligible students receive a one-time INR 3000 incentive, with the fixed deposit term lasting until the girl's 18th birthday.",Online Application,No income limit,15yrs,School,Girl
Pre-matric Scholarship Scheme,"SC students in Maharashtra, studying in eligible schools, with 60% attendance, can receive the second instalment. No income limit.",".MaintMaintenance allowance,Book grant, Disability Allowanceenance allowance",Online Application,250000,6-15yrs,School,Both
Scholarships for Higher Education for Young Achievers Scheme,"OBC/EBC/DNT students admitted to full-time courses in notified institutions, meeting the general selection criteria, are eligible for the scholarship.","The scholarship covers full tuition fees (up to Rs. 2 lakh for private institutions) and provides Rs. 86,000 in the first year and Rs. 41,000 in subsequent years for living expenses.",Online Application,250000,18+,After Schooling,Both
Central Sector Scholarship of Top Class Education for SC Students ,"SC students, pursuing full-time courses beyond class 12, with a family income up to ?8 lakh, top 80% in Class 12, no other scholarships, and who studied class 10 in a govt. or govt.-aided school, are eligible.","Private sector institutions offer ?2 lakh per annum per student, with an academic allowance of ?86,000 in the first year and ?41,000 thereafter.",Online Application,800000,18+,After Schooling,Both
Dr. Ambedkar Scheme of Interest Subsidy on Educational Loan for Overseas Studies for OBCs & EBCs,"The applicant must be a student admitted to a Master's, M. Phil, or PhD course abroad and have an education loan from a scheduled bank under the IBA scheme.","This scheme offers interest subsidy on education loans for OBC and EBC students during the moratorium period for approved overseas Master's, M. Phil, and PhD courses.",Online Application,800000,20+,Ph.D.,Both
